index_1,index_2,values
3,53274,1
3,62830,1
3,79526,1
3,64421,1
3,32373,1
3,12192,1
195,0,1
195,12605,1
195,51179,1
195,4275,1
195,6621,1
195,64159,1
195,25416,1
195,55391,1
846,0,1
846,75852,1
846,42074,1
846,19785,1
846,1245,1
846,3909,1
846,62111,1
846,62830,1
767,57018,1
767,52586,1
767,62830,1
767,37509,1
767,51823,1
767,29199,1
767,82870,1
1653,57405,1
1653,12605,1
1653,60316,1
1653,42617,1
1653,15217,1
1653,13377,1
1748,0,1
1748,14820,1
1748,69135,1
1748,33707,1
1748,49080,1
1748,1756,1
1748,36959,1
1748,8424,1
1748,74772,1
1748,16594,1
1748,61001,1
1748,9614,1
1748,62830,1
1748,58128,1
1748,81969,1
1748,37681,1
1748,6964,1
1748,75552,1
1091,0,1
1091,78706,1
1091,30791,1
1091,71215,1
1091,10081,1
1091,51823,1
1091,74576,1
1091,18330,1
1091,79526,1
1091,36434,1
1091,39914,1
1091,83240,1
1091,47575,1
1091,75534,1
1091,53682,1
1091,76292,1
1091,8808,1
1091,61001,1
1091,23140,1
1091,9628,1
1091,54182,1
1091,49878,1
1091,60140,1
1091,33612,1
1091,73615,1
1091,25335,1
1091,20825,1
1091,5546,1
1091,58296,1
1091,57186,1
1091,17153,1
1091,18944,1
1091,28732,1
1091,33314,1
1091,14264,1
1091,34961,1
1091,2767,1
1091,52864,1
1091,23975,1
1091,10151,1
1091,75804,1
1091,56535,1
1091,20688,1
1091,13204,1
1091,8211,1
1091,81814,1
1091,51752,1
1091,20565,1
1091,69655,1
1091,9861,1
1091,24018,1
1091,63487,1
1091,75357,1
1091,65783,1
1091,24027,1
1091,20093,1
1091,8431,1
1091,75373,1
1091,62830,1
1091,62994,1
1091,2271,1
1091,71188,1
1091,16428,1
1091,11598,1
1091,71191,1
1091,62852,1
1091,16594,1
1091,37894,1
1091,47207,1
1091,20599,1
1091,83903,1
1091,6625,1
1091,75552,1
1091,28657,1
1091,18430,1
2590,0,1
2590,77427,1
2590,80529,1
2590,17593,1
2590,31579,1
2590,24274,1
2590,70697,1
2590,12117,1
2590,79527,1
2590,83074,1
2590,7312,1
2590,34410,1
2590,37756,1
2590,12309,1
2590,30149,1
2590,69732,1
2590,62830,1
2590,84245,1
2590,53682,1
2590,61226,1
2590,42617,1
2590,70732,1
2590,69100,1
2590,64496,1
2590,14662,1
2590,74772,1
2590,63582,1
2590,32351,1
2590,41144,1
2590,58674,1
2590,78773,1
2590,44950,1
2590,25416,1
2590,46135,1
2590,6712,1
2590,69558,1
2590,41920,1
2590,52579,1
2590,13204,1
2590,21695,1
2590,83819,1
2590,57396,1
2590,19218,1
2590,51423,1
2590,3679,1
2590,48683,1
2590,74653,1
2590,12740,1
2590,57405,1
2590,5437,1
2590,35002,1
2590,19900,1
2590,11062,1
2590,54936,1
2590,44185,1
2590,42544,1
2590,33707,1
2590,2262,1
2590,8424,1
2590,30053,1
2590,58747,1
2590,75534,1
2590,12605,1
2590,12192,1
2590,39453,1
2590,109,1
1883,479,1
1883,0,1
1883,62830,1
1883,8554,1
1883,40006,1
1883,26215,1
2537,0,1
2537,78773,1
2537,76146,1
2537,42617,1
2537,62830,1
2537,34410,1
1304,2262,1
1304,73439,1
1304,25236,1
1304,53886,1
1304,63582,1
1304,54182,1
1304,65728,1
2270,0,1
2270,50260,1
2270,42182,1
2270,12117,1
2270,82309,1
2270,4824,1
2270,15217,1
2270,40919,1
2270,71232,1
2270,73834,1
2270,12740,1
2270,44262,1
2270,26849,1
2270,5441,1
2270,46420,1
2270,10392,1
2270,43187,1
2270,30668,1
2270,63165,1
2270,68610,1
2270,8424,1
2270,886,1
2270,62830,1
2270,8753,1
2270,32499,1
2270,32504,1
2270,78602,1
2270,48430,1
2270,50176,1
2270,8767,1
2270,63840,1
2270,75799,1
2270,26566,1
739,0,1
739,56664,1
739,69135,1
739,44802,1
739,69100,1
739,21695,1
739,30053,1
739,17153,1
739,51423,1
739,12309,1
739,35376,1
739,33314,1
739,75385,1
739,58128,1
739,73382,1
739,7249,1
739,1741,1
539,0,1
539,63165,1
539,14662,1
539,32255,1
539,63582,1
539,22734,1
539,57885,1
539,12605,1
539,37756,1
539,75534,1
539,67973,1
539,16594,1
539,79526,1
539,10502,1
539,35002,1
539,51192,1
539,71024,1
539,62830,1
539,12192,1
1809,0,1
1809,12309,1
1809,39933,1
1809,62830,1
1809,76451,1
1809,41144,1
1809,64493,1
1809,79007,1
1809,2262,1
1809,77,1
1809,60568,1
1809,70530,1
1809,78172,1
1809,1458,1
1809,22737,1
3023,29536,1
3023,0,1
3023,57867,1
3023,57135,1
3023,79526,1
3023,17606,1
3023,1484,1
3023,40919,1
3023,57314,1
3023,34961,1
3023,33109,1
3023,20629,1
3023,58869,1
3023,79891,1
3023,60316,1
3023,61304,1
3023,62830,1
3023,13565,1
3023,19581,1
3023,8089,1
3023,43945,1
3023,51423,1
3023,73123,1
3023,16594,1
3023,8842,1
3023,21009,1
3023,24905,1
3023,67726,1
3023,31201,1
3023,52227,1
3023,7249,1
3023,41373,1
3023,70556,1
3023,16533,1
925,7249,1
925,12605,1
925,67458,1
925,3113,1
925,57405,1
925,82744,1
925,12192,1
1518,12605,1
1518,32066,1
1518,20411,1
1518,10692,1
1518,12740,1
1518,60316,1
1518,23407,1
1518,62830,1
1518,34410,1
1722,0,1
1722,6883,1
1722,67458,1
1722,9953,1
1722,54698,1
1722,62830,1
1722,19785,1
561,0,1
561,14820,1
561,36129,1
561,58128,1
561,14881,1
561,29896,1
561,62447,1
561,69539,1
561,79361,1
561,6353,1
561,62830,1
561,75016,1
948,0,1
948,64670,1
948,55842,1
948,66579,1
948,62830,1
948,76918,1
1397,40916,1
1397,40919,1
1397,47222,1
1397,61262,1
1397,47207,1
1397,62830,1
2496,37011,1
2496,17153,1
2496,51423,1
2496,62983,1
2496,52227,1
2496,16468,1
2496,46330,1
2496,21695,1
2496,44844,1
2496,39456,1
2496,12618,1
2496,44973,1
2496,63582,1
2496,12192,1
1567,56741,1
1567,5081,1
1567,63165,1
1567,30362,1
1567,61001,1
1567,22878,1
1567,44895,1
1567,62447,1
2079,0,1
2079,11717,1
2079,62983,1
2079,32351,1
2079,62830,1
2079,54182,1
2079,24274,1
1484,29536,1
1484,0,1
1484,71215,1
1484,21562,1
1484,12740,1
1484,63165,1
1484,62830,1
1484,12192,1
1045,12605,1
1045,42544,1
1045,12740,1
1045,49571,1
1045,64496,1
1045,78773,1
1045,69105,1
1045,75799,1
1045,15217,1
2789,0,1
2789,57405,1
2789,56277,1
2789,40239,1
2789,62830,1
2789,12192,1
1412,0,1
1412,29588,1
1412,10692,1
1412,72794,1
1412,23066,1
1412,12707,1
1412,63582,1
1412,26215,1
1062,79526,1
1062,549,1
1062,21731,1
1062,81704,1
1062,12192,1
1062,52227,1
234,0,1
234,73811,1
234,67458,1
234,79062,1
234,62068,1
234,14747,1
234,10418,1
234,6576,1
234,18409,1
234,27875,1
234,22196,1
234,62830,1
234,14184,1
2045,79526,1
2045,11717,1
2045,67458,1
2045,9912,1
2045,49935,1
2045,14881,1
2045,62830,1
825,0,1
825,31233,1
825,48999,1
825,51573,1
825,51823,1
825,11957,1
825,50165,1
825,77875,1
825,51495,1
825,48453,1
825,16594,1
825,18450,1
825,51377,1
825,11717,1
825,43583,1
825,2209,1
825,82096,1
825,54413,1
825,75625,1
825,83631,1
1826,0,1
1826,11717,1
1826,67458,1
1826,32351,1
1826,68938,1
1826,67953,1
1826,60949,1
1826,52613,1
1826,62830,1
1826,60351,1
1044,0,1
1044,29460,1
1044,8955,1
1044,26132,1
1044,2642,1
1044,72075,1
1044,8291,1
1044,4619,1
1044,70697,1
1044,989,1
1044,74772,1
1044,34410,1
1044,21626,1
1044,28510,1
1044,76459,1
1044,38418,1
1044,73762,1
1044,10969,1
1044,21955,1
1044,41103,1
1044,60316,1
1044,61226,1
1044,21326,1
1044,23500,1
1044,79067,1
1044,14662,1
1044,50726,1
1044,22950,1
1044,37784,1
1044,81096,1
1044,57355,1
1044,4705,1
1044,25236,1
1044,73462,1
1044,2717,1
1044,58674,1
1044,7695,1
1044,77,1
1044,54723,1
1044,79102,1
1044,81120,1
1044,10692,1
1044,42182,1
1044,5065,1
1044,43152,1
1044,43495,1
1044,56541,1
1044,64608,1
1044,15373,1
1044,777,1
1044,64945,1
1044,37178,1
1044,12740,1
1044,24333,1
1044,787,1
1044,78172,1
1044,71861,1
1044,28744,1
1044,35592,1
1044,3113,1
1044,75534,1
1044,12309,1
1044,80171,1
1044,51467,1
1044,28018,1
1044,9105,1
1044,36245,1
1044,29290,1
1044,827,1
1044,16118,1
1044,42891,1
1044,41071,1
1044,11773,1
1044,63445,1
1044,47224,1
1044,36129,1
1044,8781,1
1044,46888,1
1044,75121,1
1044,52493,1
1044,69558,1
1044,35585,1
1044,77599,1
1044,13450,1
1044,38605,1
1044,40916,1
1044,59103,1
1044,40919,1
1044,68256,1
1044,7761,1
1044,25646,1
1044,34531,1
1044,36178,1
1044,31632,1
1044,67755,1
1044,49571,1
1044,12818,1
1044,53864,1
1044,79491,1
1044,57164,1
1044,11442,1
1044,80568,1
1044,57507,1
1044,41725,1
1044,21912,1
1044,27031,1
1044,27032,1
1044,27033,1
1044,27034,1
1044,27036,1
1044,1362,1
1044,51883,1
1044,32911,1
1044,46285,1
1044,30362,1
1044,48067,1
1044,60122,1
1044,25416,1
1044,12192,1
1044,10168,1
1044,41920,1
1044,61775,1
1044,73287,1
1044,15201,1
1044,32373,1
1044,62447,1
1044,40997,1
1044,25021,1
1044,30727,1
1044,73439,1
1044,37011,1
1044,9428,1
1044,3679,1
1044,55947,1
1044,56898,1
1044,74653,1
1044,37681,1
1044,63149,1
1044,5026,1
1044,56660,1
1044,64792,1
1044,29104,1
1044,65783,1
1044,41370,1
1044,78028,1
1044,19246,1
1044,63165,1
1044,2262,1
1044,32074,1
1044,43368,1
1044,62830,1
1044,1599,1
1044,81013,1
1044,64486,1
1044,32426,1
1044,50975,1
1044,11936,1
1044,58248,1
1044,84639,1
1044,72623,1
1044,12283,1
1044,68705,1
1044,21163,1
269,2262,1
269,73375,1
269,45461,1
269,62830,1
269,69430,1
269,24274,1
2415,0,1
2415,41920,1
2415,69587,1
2415,12740,1
2415,58674,1
2415,32602,1
2415,62830,1
2415,12192,1
461,0,1
461,12605,1
461,47493,1
461,63165,1
461,62830,1
461,79207,1
461,53682,1
461,70697,1
461,58152,1
461,28519,1
461,60122,1
461,74772,1
461,68733,1
461,84189,1
461,75534,1
1628,0,1
1628,10981,1
1628,12034,1
1628,36409,1
1628,18878,1
1628,62830,1
1628,10613,1
1628,57355,1
1309,79100,1
1309,66096,1
1309,4911,1
1309,43187,1
1309,2676,1
1309,32067,1
1309,33707,1
1309,61036,1
1309,24274,1
1309,63165,1
1309,42637,1
1309,2262,1
1309,14662,1
1309,62830,1
1309,30845,1
1309,58674,1
1309,40919,1
1309,32351,1
1309,12740,1
1309,49571,1
1309,30362,1
1309,60316,1
1309,68225,1
1309,68229,1
1812,69917,1
1812,43461,1
1812,16594,1
1812,24274,1
1812,63165,1
1812,78773,1
1812,62830,1
1812,28902,1
1090,0,1
1090,77427,1
1090,14662,1
1090,32351,1
1090,62830,1
1090,12192,1
307,0,1
307,59608,1
307,71215,1
307,67287,1
307,63165,1
307,79526,1
307,62830,1
307,12192,1
105,0,1
105,63149,1
105,36129,1
105,42544,1
105,17606,1
105,63165,1
105,2262,1
105,14662,1
105,64159,1
105,53886,1
105,4824,1
105,22734,1
105,12605,1
105,11717,1
105,27974,1
105,12740,1
105,2717,1
105,39939,1
105,32066,1
105,8808,1
105,33095,1
105,75176,1
105,78172,1
105,12192,1
1299,62802,1
1299,63165,1
1299,50975,1
1299,886,1
1299,35755,1
1299,79526,1
2933,29536,1
2933,35549,1
2933,12605,1
2933,45416,1
2933,71378,1
2933,52227,1
2933,7390,1
2933,29760,1
340,0,1
340,40916,1
340,18859,1
340,42018,1
340,47557,1
340,14662,1
340,29112,1
340,77066,1
340,62830,1
340,35549,1
340,1484,1
340,33314,1
340,79526,1
340,33042,1
340,55608,1
340,25416,1
340,25335,1
1073,0,1
1073,26194,1
1073,12605,1
1073,46239,1
1073,71215,1
1073,52649,1
1073,62830,1
1073,39939,1
2230,29536,1
2230,0,1
2230,12605,1
2230,28598,1
2230,57405,1
2230,43461,1
2230,10483,1
2230,42841,1
2230,63165,1
2230,82324,1
2230,62830,1
2801,0,1
2801,36856,1
2801,65173,1
2801,63165,1
2801,2262,1
2801,63149,1
2801,40655,1
2801,12192,1
402,0,1
402,41920,1
402,66049,1
402,79185,1
402,51572,1
402,3337,1
402,12117,1
402,43986,1
402,59735,1
402,79114,1
402,6732,1
402,41192,1
402,40919,1
402,51423,1
402,54936,1
402,35682,1
402,72924,1
402,58328,1
402,12740,1
402,49571,1
402,57405,1
402,76292,1
402,75262,1
402,56125,1
402,57848,1
402,6756,1
402,1748,1
402,18473,1
402,20411,1
402,14157,1
402,62830,1
402,26215,1
402,74778,1
402,2717,1
402,58674,1
402,32602,1
402,12192,1
2831,0,1
2831,84245,1
2831,15201,1
2831,61687,1
2831,45546,1
2831,24274,1
2831,79527,1
2831,70308,1
2831,15217,1
2831,83819,1
2831,6568,1
2831,46907,1
2831,67757,1
2831,67758,1
2831,67760,1
2831,38861,1
2831,12740,1
2831,67763,1
2831,49571,1
2831,42617,1
2831,24333,1
2831,25375,1
2831,27023,1
2831,27010,1
2831,76834,1
2831,79723,1
2831,46008,1
2831,54936,1
2831,32066,1
2831,42544,1
2831,3463,1
2831,81160,1
2831,43187,1
2831,64496,1
2831,2262,1
2831,46021,1
2831,66077,1
2831,62830,1
2831,53798,1
2831,73238,1
2831,60345,1
2831,46135,1
2831,41144,1
2831,2717,1
2831,434,1
2831,75342,1
2831,3909,1
2831,5925,1
2831,46463,1
2831,65736,1
2831,25335,1
2831,6712,1
2831,43806,1
2258,2271,1
2258,36635,1
2258,5081,1
2258,42544,1
2258,46242,1
2258,35755,1
2258,49571,1
2258,21695,1
2258,72794,1
2258,14184,1
2258,58328,1
1089,3239,1
1089,81653,1
1089,63487,1
1089,69757,1
1089,61748,1
1089,81679,1
1089,70987,1
2858,0,1
2858,5815,1
2858,3635,1
2858,36432,1
2858,57859,1
2858,67193,1
1759,29536,1
1759,855,1
1759,39939,1
1759,80637,1
1759,63165,1
1759,21695,1
1759,62447,1
1759,70308,1
1759,42450,1
1759,27884,1
1759,51896,1
1759,12192,1
782,0,1
782,38714,1
782,27033,1
782,9953,1
782,20352,1
782,30991,1
782,30220,1
782,82822,1
782,74552,1
782,55239,1
782,16514,1
782,62830,1
782,15984,1
782,63429,1
782,47747,1
782,73509,1
782,66551,1
782,2717,1
782,6623,1
782,13510,1
782,57841,1
782,13458,1
782,56634,1
535,0,1
535,43083,1
535,62830,1
535,14184,1
535,19785,1
535,53682,1
777,63165,1
777,12605,1
777,8350,1
777,74772,1
777,62830,1
777,12192,1
777,37681,1
2473,29536,1
2473,6732,1
2473,52227,1
2473,50836,1
2473,57405,1
2473,63165,1
2473,19581,1
2473,58853,1
2473,7312,1
2473,43945,1
2473,21695,1
2473,58724,1
2473,73123,1
2473,887,1
2473,39939,1
1749,0,1
1749,36593,1
1749,60122,1
1749,54936,1
1749,42544,1
1749,12117,1
1749,63165,1
1749,2262,1
1749,64159,1
1749,43910,1
1749,62830,1
1749,24653,1
1749,79491,1
1749,45782,1
1749,46907,1
1749,44122,1
1749,2717,1
1749,1245,1
1749,57405,1
1749,37681,1
1749,65411,1
1749,39034,1
2949,40916,1
2949,2262,1
2949,4052,1
2949,25646,1
2949,15166,1
2949,60460,1
2797,0,1
2797,12605,1
2797,8842,1
2797,19471,1
2797,1978,1
2797,62830,1
2797,79526,1
2797,82555,1
2797,12740,1
2797,6883,1
2797,63165,1
2797,67155,1
2797,8843,1
2797,78172,1
2797,5428,1
1460,0,1
1460,62983,1
1460,32066,1
1460,51572,1
1460,33707,1
1460,24274,1
1460,2262,1
1460,36553,1
1460,62830,1
1460,12605,1
1460,11717,1
1460,32351,1
1460,53682,1
1460,69945,1
1460,63149,1
1460,60487,1
1460,12192,1
631,0,1
631,65009,1
631,4275,1
631,63165,1
631,15344,1
631,2262,1
631,53886,1
631,62830,1
2418,41920,1
2418,2717,1
2418,74653,1
2418,13655,1
2418,57507,1
2418,12740,1
2418,57405,1
2418,21695,1
2418,19785,1
2418,72794,1
2418,24724,1
2418,62830,1
2418,12192,1
2418,20982,1
3004,73123,1
3004,58128,1
3004,51423,1
3004,77229,1
3004,59808,1
3004,68705,1
3057,0,1
3057,27953,1
3057,24997,1
3057,62570,1
3057,79526,1
3057,30675,1
3057,83074,1
3057,20259,1
3057,81814,1
3057,8554,1
3057,62830,1
3057,37668,1
3057,52417,1
3057,82028,1
3057,39621,1
3057,65807,1
3057,50922,1
3057,35927,1
3057,24050,1
3057,794,1
3057,18040,1
1696,0,1
1696,7426,1
1696,61440,1
1696,20046,1
1696,3938,1
1696,82884,1
1696,23407,1
1696,26663,1
1696,57548,1
1696,62830,1
1696,2871,1
2252,0,1
2252,58161,1
2252,1748,1
2252,40941,1
2252,22218,1
2252,74653,1
2252,40606,1
2252,62443,1
2252,27662,1
2252,78773,1
2252,81647,1
2252,24071,1
2252,62830,1
505,0,1
505,80673,1
505,39773,1
505,12117,1
505,47131,1
505,47093,1
505,49397,1
505,27030,1
505,83425,1
505,68884,1
505,35977,1
505,64327,1
505,56793,1
505,77262,1
505,61791,1
854,30362,1
854,36856,1
854,30149,1
854,25236,1
854,15344,1
854,22629,1
854,65728,1
2726,0,1
2726,45461,1
2726,57181,1
2726,3553,1
2726,79526,1
2726,58200,1
2726,6732,1
2726,1484,1
2726,74236,1
2726,695,1
2726,12740,1
2726,49571,1
2726,6667,1
2726,69430,1
2726,55771,1
2726,69917,1
2726,1748,1
2726,57750,1
2726,78180,1
2726,63165,1
2726,47729,1
2726,60662,1
2726,78039,1
2726,34949,1
2726,83531,1
2726,58328,1
2726,36796,1
2726,21344,1
2726,83451,1
2726,11260,1
2726,58248,1
2726,44965,1
2726,57549,1
2726,52056,1
2726,78773,1
2726,76763,1
2726,81450,1
2726,70530,1
2726,28150,1
1816,0,1
1816,29536,1
1816,42450,1
1816,74772,1
1816,58128,1
1816,62830,1
911,49789,1
911,76501,1
911,72701,1
911,4570,1
911,28478,1
911,42445,1
911,23819,1
911,35387,1
911,14104,1
911,71666,1
911,8554,1
911,62830,1
857,0,1
857,63165,1
857,2262,1
857,10589,1
857,12192,1
857,30727,1
1582,0,1
1582,47224,1
1582,82294,1
1582,36129,1
1582,6638,1
1582,55983,1
1582,24274,1
1582,12117,1
1582,43986,1
1582,66223,1
1582,37921,1
1582,50542,1
1582,15217,1
1582,55592,1
1582,695,1
1582,12309,1
1582,68705,1
1582,49571,1
1582,41103,1
1582,42450,1
1582,60316,1
1582,19900,1
1582,57164,1
1582,69917,1
1582,42544,1
1582,80908,1
1582,23862,1
1582,2262,1
1582,69105,1
1582,58328,1
1582,12605,1
1582,51800,1
1582,42880,1
1582,52649,1
1582,1245,1
1582,52493,1
1582,12192,1
1059,0,1
1059,12605,1
1059,62983,1
1059,78028,1
1059,22963,1
1059,57403,1
1059,36245,1
1059,63165,1
1059,2262,1
1059,3113,1
1059,19900,1
1059,12192,1
1059,31905,1
1144,0,1
1144,13160,1
1144,29999,1
1144,71516,1
1144,149,1
1144,63736,1
1144,53682,1
1144,72918,1
1144,71831,1
1144,45547,1
1144,39209,1
1144,49804,1
1144,68007,1
1873,0,1
1873,12605,1
1873,75358,1
1873,8845,1
1873,49878,1
1873,62830,1
1873,12192,1
1873,29199,1
2800,0,1
2800,54364,1
2800,42544,1
2800,62830,1
2800,17861,1
2800,12192,1
793,0,1
793,12605,1
793,7312,1
793,63165,1
793,62830,1
793,50836,1
793,12192,1
1560,23407,1
1560,12605,1
1560,67860,1
1560,79185,1
1560,79526,1
1560,58128,1
1560,22071,1
1560,53682,1
1560,64430,1
1560,62582,1
1560,63165,1
1560,2262,1
1560,52493,1
1560,16594,1
1560,12192,1
2321,12605,1
2321,15344,1
2321,53682,1
2321,63165,1
2321,53886,1
2321,67005,1
2321,2262,1
2321,18992,1
2321,63149,1
2321,12192,1
910,29536,1
910,0,1
910,63445,1
910,6057,1
910,81120,1
910,77788,1
910,12740,1
910,40993,1
910,64420,1
910,41144,1
910,5591,1
910,34410,1
910,64608,1
910,4175,1
910,7088,1
910,70713,1
910,34531,1
910,27387,1
910,84245,1
910,72685,1
910,53682,1
910,57405,1
910,37681,1
910,81096,1
910,75273,1
910,78028,1
910,78022,1
910,33612,1
910,71516,1
910,74659,1
910,32067,1
910,65554,1
910,24480,1
910,45782,1
910,2262,1
910,14662,1
910,53885,1
910,43368,1
910,62830,1
910,71024,1
910,29199,1
910,46907,1
910,58665,1
910,82018,1
910,12605,1
910,75035,1
910,52380,1
910,8845,1
910,29357,1
910,32351,1
910,37060,1
910,63165,1
910,82477,1
910,73462,1
910,6705,1
910,12309,1
910,44761,1
910,72063,1
910,13751,1
910,22320,1
910,64421,1
910,12192,1
910,9890,1
2461,0,1
2461,21695,1
2461,74794,1
2461,35002,1
